club,keeper
FC Utrecht,Kevin Gadellaa
Kashima Antlers,Yuji Kajikawa
Coventry City,Daniel Bentley
Red Bull Salzburg,Christian Früchtl
Charlton Athletic,Will Mannion
Atlético de Madrid,Juan Musso
Newcastle United,Nick Pope
FC Porto,Cláudio Ramos
Manchester City,Gerónimo Rulli
Levante UD,Pablo Cuñat
1. FSV Mainz 05,Alexander Schwolow
Brentford,Hákon Valdimarsson
Aston Villa,Marco Bizot
SC Paderborn 07,Markus Schubert
Athletic Club,Álex Padilla
Arsenal,Kepa Arrizabalaga
sc Heerenveen,Andries Noppert
Telstar,Daan Reiziger
Sheffield United,Adam Davies
RB Leipzig,Ørjan Nyland
Queens Park Rangers,Calum Ward
OGC Nice,Teddy Boulhendi
TSG Hoffenheim,Luca Philipp
FC Barcelona,Dominik Livakovic
Mito Hollyhock,Jakub Słowik
RC Lens,Mathieu Gorgelin
1. FC Kaiserslautern,Enis Kamga
AS Saint-Étienne,Mamour Ndiaye
Real Madrid,Andriy Lunin
Bayer 04 Leverkusen,Janis Blaswich
FC Augsburg,Nediljko Labrović
KV Mechelen,Ortwin De Wolf
Club Brugge,Nordin Jackers
Union Saint-Gilloise,Vic Chambaere
RCD Espanyol,Ángel Fortuño
West Ham United,Alphonse Areola
Manchester United,Karl Darlow
Everton,Mark Travers
St. Mirren,Peter Urminsky
LASK,Tobias Schützenauer
Crystal Palace,Walter Benítez
Racing Club,Simon Eriksson
FC Famalicão,Ivan Zlobin
Sunderland,Melker Ellborg
1. FC Köln,Ron-Robert Zieler
Angers SCO,Melvin Zinga
Istra 1961,Jan Paus-Kunšt
Celta,Altay Bayındır
Middlesbrough,Sol Brynn
Fulham,Benjamin Lecomte
Tottenham Hotspur,Martin Dúbravka
FC Schalke 04,Kevin Müller
Rangers,Liam Kelly
Sint-Truiden VV,Matt Lendfers
Ajax,Maarten Paes
Stoke City,Josh Griffiths
AZ,Rome-Jayden Owusu-Oduro
Darmstadt 98,Alexander Brunst
Go Ahead Eagles,Nick Marsman
1. FC Nürnberg,Robin Lisewski
Estrela da Amadora,David Grilo
WSG Tirol,Alexander Eckmayr
1. FC Union Berlin,Carl Klaus
Kyoto Sanga F.C.,Masaaki Murakami
SC Cambuur,Jasper Meijster
Kashiwa Reysol,Tomoya Wakahara
Stade Rennais FC,Nicolas Lemaître
Hajduk Split,Ivica Ivušić
Getafe CF,Jiří Letáček
Celtic,Ross Doohan
Olympique Lyonnais,Rémy Descamps
SV Elversberg,Tim Boss
Grenoble Foot 38,Bobby Allain
Greuther Fürth,Christian Ortag
Sporting Charleroi,Martin Delavallée
Rapid Wien,Paul Gartler
Dynamo Dresden,Elias Bethke
Sturm Graz,Ammar Helac
FC Lorient,Bingourou Kamara
Karlsruher SC,Robin Himmelmann
ESTAC Troyes,Hillel Konaté
Excelsior Rotterdam,Celton Biai
Austria Wien,Mirko Kos
Chelsea,Mike Penders
Cardiff City,Harry Tyrer
Paris FC,Obed Nkambadio
V-Varen Nagasaki,Go Hatano
Paris Saint-Germain,Lucas Chevalier
Standard de Liège,Lucas Pirard
Willem II,Wouter van der Steen
SCR Altach,Daniel Antosch
Rudeš,Fliip Holjevac
Hamburger SV,Sander Tangvik
Slaven Belupo,Ivan Covic
Derby County,Josh Vickers
FC St. Pauli,Dimitar Mitov
Burnley,Ben Amos
Vitória SC,Juan Castillo
Málaga CF,Carlos López
Lommel SK,Nikola Ivezić
Energie Cottbus,Kevin Kratzsch
KRC Genk,Tobias Lawal
AJ Auxerre,Paul Nardi
Real Sociedad,Unai Marrero
Santa Clara,Neneca
RAAL La Louvière,Théo Radelet
Watford,Daniel Bachmann
Hertha BSC,Tim Goller
Villarreal CF,Péter Gulácsi
Urawa Reds,Koki Fukui
PEC Zwolle,Tom de Graaff
Royal Antwerp FC,Niels Devalckeneer
Kawasaki Frontale,Louis Yamaguchi
Sporting CP,João Virgínia
Southampton,Aaron Ramsdale
Dundee United,Jordan Amissah
Real Betis,Diego Conde
Falkirk,Nicky Hogarth
ADO Den Haag,Niclas Thiede
Fortuna Sittard,Luuk Koopmans
Arminia Bielefeld,Leo Oppermann
Cercle Brugge,Bas Langenbick
Toulouse FC,Mathys Niflore
Eintracht Braunschweig,Benjamin Uphoff
Lincoln City,Joe Gauci
RC Strasbourg Alsace,Miłosz Piekutowski
Stade Brestois 29,Grégoire Coudert
Académico de Viseu,Marcos Lavín
VfL Bochum,Tino Casali
PSV,Nick Olij
Elche CF,Alejandro Iturbe
SV Ried,Felix Wimmer
Werder Bremen,Alexander Schlager
Valencia CF,Kayne van Oevelen
Wolfsberger AC,David Skubl
TSV Hartberg,Luka Marić
N.E.C. Nijmegen,Nikolas Polster
Zulte Waregem,Brent Gabriël
Norwich City,Daniel Grimshaw
Hibernian,Jordan Smith
AS Monaco,Philipp Köhn
Aberdeen,Nick Suman
St. Johnstone,Ross Sinclair
Grazer AK,Jakob Meierhofer
Lokomotiva Zagreb,Luka Savatovic
Shimizu S-Pulse,Yuya Oki
JEF United Chiba,Ryota Suzuki
Austria Lustenau,Phillip Böhm
Sanfrecce Hiroshima,Keisuke Otako
Eintracht Frankfurt,Michael Zetterer
Vissel Kobe,Daiya Maekawa
Fagiano Okayama,Taro Hamada
Gil Vicente FC,Samuel Portugal
Holstein Kiel,Marcel Engelhardt
VfB Stuttgart,Fabian Bredlow
Marítimo,Fran Vieites
Le Mans FC,Ewan Hatfout
OH Leuven,Tobe Leysen
FC Twente,Joël Drommel
Blackburn Rovers,Aynsley Pears
Bucheon FC 1995,Kim Hyeon-yeob
Dinamo Zagreb,Ivan Nevistić
1. FC Heidenheim,Thomas Dähne
Estoril Praia,Joel Robles
Casa Pia AC,André Gomes
Rayo Vallecano,Dani Cárdenas
Gamba Osaka,Jun Ichimori
Hannover 96,Leo Weinkauf
Portsmouth,Daniel Bielica
Dundee,Harry Sharp
Sparta Rotterdam,Michael Brouwer
VfL Wolfsburg,Jakub Zieliński
Millwall,Max Crocombe
Wolverhampton Wanderers,José Sá
Brighton & Hove Albion,Jason Steele
Borussia Dortmund,Alexander Meyer
Heart of Midlothian,Zander Clark
Wrexham,Danny Ward
1. FC Magdeburg,Noah Kruth
Borussia Mönchengladbach,Daniel Batz
FC Tokyo,Hayate Tanaka
Swansea City,Andy Fisher
Leeds United,Lucas Perri
Tokyo Verdy,Yuya Nagasawa
Preston North End,Lee Nicholls
Bayern München,Jonas Urbig
Rio Ave FC,Cezary Miszta
Moreirense FC,Aranha
AFC Bournemouth,Will Dennis
Liverpool,Giorgi Mamardashvili
Nottingham Forest,John Victor
Le Havre AC,Gauthier Gallon
LOSC Lille,Orlando Gill
Olympique de Marseille,Théo Vermot
CA Osasuna,Aitor Fernández
Deportivo Alavés,Adrián Rodríguez
RC Deportivo,Álvaro Ferllo
Sevilla FC,Fran González
SC Freiburg,Florian Müller
FC Alverca,Jhonatan Siqueira / Noah Raveyre
FC Arouca,Nico Mantl
Nacional,João Gonçalves
SC Braga,Tiago Sa
FC Groningen,Pelle Boevink
Feyenoord,Florian Kastenmeier
RSC Anderlecht,Justin Heekeren
SK Beveren,Josua Lusamba Tshiolola
KAA Gent,Kjell Peersman
KV Kortrijk,Patrik Gunnarsson
KVC Westerlo,Bill Lathouwers
Kilmarnock,Calum Ferrie
Motherwell,Matthew Connelly
Yokohama F. Marinos,Park Il-gyu
Nagoya Grampus,Alex Pisano Kouto Horio
Cerezo Osaka,Koto Abe
Birmingham City,Ryan Allsop
Bolton Wanderers,David Harrington
Bristol City,Joe Lumley
West Bromwich Albion,Matt Ingram
HNK Gorica,Renato Josipović
Rijeka,David Nwolokor
Osijek,Matej Grahovac
Varaždin,Robby McCrorie
VfL Osnabrück,Lukas Jonsson
FC Nantes,Maxime Dupé
Jeonbuk Hyundai Motors,Lee Ju-hyeon
Juventus,Kamil Grabara
